"","county_fips","pop_total","foreign_flow_3y","fb_lt_hs_share","fb_hs_share","fb_sc_share","fb_ba_share","fb_grad_share","fb_lt_hs_count","fb_hs_count","fb_sc_count","fb_ba_count","fb_grad_count","fb_low_A_count","fb_high_A_count","fb_low_B_count","fb_high_B_count","fb_low_A_lag3","fb_high_A_lag3","fb_low_B_lag3","fb_high_B_lag3","d_fb_low_skill_a_3y","d_fb_high_skill_a_3y","d_fb_low_skill_b_3y","d_fb_high_skill_b_3y","election_year","Z","Z_lowa","Z_higha","Z_lowb","Z_highb","YEAR","gop_two_party_share","gop_two_party_share_lag4","hispanic_native_share","white_share","black_share","native_lt_hs_share","native_hs_share","foreign_flow_3y_10k","d_fb_low_skill_a_3y_10k","d_fb_high_skill_a_3y_10k","d_fb_low_skill_b_3y_10k","d_fb_high_skill_b_3y_10k","fit_overall_10k","fit_low_A_10k","fit_high_A_10k","fit_low_B_10k","fit_high_B_10k"
"858",26021,153134,2078,0.00826073896064884,0.0154113390886413,0.0205898102315619,0.036850079015764,0.00745752086407983,1265,2360,3153,5643,1142,1265,12298,3625,9938,2667,8817.99999999999,4436,7048.99999999999,-1402.00000000001,3480.00000000001,-811.000000000004,2889.00000000001,2024,379654.681459885,101757.365835223,277897.315624663,224441.835222978,155212.846236907,2024,0.539928929866263,0.537556974690268,0.0412645134326799,0,0,0.263246568364961,0.209737876630925,0.2078,-0.140200000000001,0.348000000000001,-0.0811000000000004,0.288900000000001,0.491112961412596,0.212928412659919,0.30898931554716,0.388342071346729,0.171501685784919
"859",26025,135850,1365,0.019101950680898,0.00640412219359588,0.00866396761133603,0.00507177033492823,0.00244387191755613,2594.99999999999,870,1177,689,332,2594.99999999999,3068,3464.99999999999,2198,1582,2716,3126,1172,1012.99999999999,352.000000000003,338.99999999999,1026,2008,216632.64442591,48217.904086739,168414.740339172,52997.5838198499,163635.060606061,2008,0.452403587159743,0.5177626484254,0.0312550607287449,0.822598454177402,0.108803827751196,0.327228560912771,0.253375046006625,0.1365,0.101299999999999,0.0352000000000003,0.033899999999999,0.1026,0.0707616438178663,0.00435145585292265,0.0579941308048118,-0.029443386024521,0.0764837533924705
"860",26065,282416,NA,0.0186993654750439,0.0122514305138519,0.0265813551640134,0.0262839215908447,0.00853351084924367,5281,3460,7507.00000000001,7423,2410,5281,20800,8741,17340,NA,NA,NA,NA,NA,NA,NA,NA,2012,249012.748088834,17677.9686318684,231334.779456966,53949.0807780045,195063.66731083,2012,0.359135335663837,0.330894025356464,0.0610801087757068,0.734480341057164,0.132308367797858,0.242054274545352,0.15351467338961,NA,NA,NA,NA,NA,0.147194657947738,-0.105776089613117,0.247564676336821,-0.0824404976340488,0.251878798167485
"861",26065,288289,919,0.0253807810911967,0.00978531959249226,0.0256617491475568,0.0286656792316044,0.00814807363444322,7317,2821,7398,8264,2349,7317,20832,10138,18011,5718.99999999999,21511,8907,18323,1598.00000000002,-679,1231.00000000001,-311.999999999989,2016,228693.802422,13869.1873131074,214824.615108893,48407.8648230652,180285.937598935,2016,0.35671420904552,0.359135335663837,0.0656077755308042,0.718844631602316,0.135946914381055,0.225908723537839,0.15675242551745,0.0919,0.159800000000002,-0.0679,0.123100000000001,-0.0311999999999989,0.17049498827541,-0.0674940154343498,0.243398708020352,-0.00234524655332523,0.204478593576343
"862",26065,293363,-17364,0.018103850860538,0.00910135224960203,0.0129668703960622,0.0222488861921919,0.0119408378016314,5311.00000000001,2670,3804,6526.99999999999,3502.99999999999,5311.00000000001,16504,7981.00000000001,13834,11917,27262,18789,20390,-6606,-10758,-10808,-6556,2020,-32484.8734169846,-61508.4643734372,29023.5909564526,-117313.541693217,84828.6682762324,2020,0.335838309211779,0.35671420904552,0.0572601180107921,0.780623323322982,0.0929701427923767,0.226020322944611,0.181099866036276,-1.7364,-0.6606,-1.0758,-1.0808,-0.6556,-0.39373182609093,-0.255349354284217,-0.152054043395102,-0.392331572854655,-0.085535680956156
"863",26065,284343,4860,0.013634940898844,0.0176195651027105,0.0236369455200234,0.0270448015249188,0.011876501267835,3877,5010.00000000001,6721.00000000001,7689.99999999999,3377.00000000001,3877,22798,8887.00000000001,17788,5311.00000000001,16504,7981.00000000001,13834,-1434.00000000001,6294.00000000004,906.000000000002,3954.00000000003,2024,236569.327838422,41045.8959462855,195523.431892136,101490.486357259,135078.841481163,2024,0.348462503273469,0.335838309211779,0.069546287406407,0,0,0.220613836106393,0.171838237621464,0.486,-0.143400000000001,0.629400000000004,0.0906000000000002,0.395400000000003,0.343625201165958,0.0971196363341704,0.256477342397704,0.23028112118275,0.157598129235662
"864",26075,160219,-119,0.00519289222876188,0.00489954374949288,0.00270255088347824,0.0074086094657937,0.00220947578002609,832,785,433,1187,354,832,2759,1617,1974,1244,2466,1823,1887,-412,293.000000000001,-206,87.0000000000005,2008,191785.763380282,14531.3699530516,177254.39342723,22499.9943661972,169285.769014084,2008,0.487782211774996,0.563360261209784,0.0216079241538145,0.88365299995631,0.0778809005174168,0.325198634369207,0.267889576142655,-0.0119,-0.0412,0.0293000000000001,-0.0206,0.00870000000000005,0.043959025571605,0.0703124384025819,0.0170737975116618,0.00788882900746902,0.0735617253576492
"865",26075,159825,-952,0.00432347880494291,0.00224620678867511,0.00445487251681527,0.00406069138119819,0,691.000000000001,359,712,649.000000000001,0,691.000000000001,1720,1050,1361,1198,2165,2053,1310,-507,-444.999999999998,-1003,51.000000000002,2012,114856.884820031,-47335.958998435,162192.843818466,-25582.7699530516,140439.654773083,2012,0.529133077741658,0.487782211774996,0.0269795088377913,0.857982167996246,0.100265915845456,0.312166432035038,0.262268105740654,-0.0952,-0.0507,-0.0444999999999998,-0.1003,0.0051000000000002,0.0865230904748229,-0.0218620399501523,0.0853699255681141,-0.0119833152533398,0.0756170824506558
"866",26075,158817,782,0.0064413759232324,0.00459648526291266,0.00433832650157099,0.00440758860827241,0.00060446929484878,1023,730,689,699.999999999999,95.9999999999987,1023,2215,1753,1485,840.000000000001,1616,1414,1042,183,598.999999999998,338.999999999999,442.999999999998,2016,111300.045070423,-33308.8350547731,144608.880125196,-22725.8312989045,134025.876369327,2016,0.606711593584192,0.529133077741658,0.0313001756738888,0.853850658304841,0.100253751172733,0.286770307964513,0.229169421409547,0.0782,0.0183,0.0598999999999998,0.0338999999999999,0.0442999999999998,0.123146770981924,0.0242836900395603,0.0794680896404631,0.0732214214698522,0.0552740947787968
"867",26075,159450,1026,0.00522420821574161,0.00634681718407024,0.00728755095641267,0.0047914706804641,0.00136719974913766,833,1012,1162,764.000000000001,218,833,3156,1845,2144,414.999999999999,2548,1527,1436,418,608.000000000002,318.000000000001,708.000000000001,2020,-129745.266979656,-126773.921126761,-2971.34585289515,-205615.851017214,75870.5840375587,2020,0.596872755679313,0.606711593584192,0.0699905926622766,0.812229539040452,0.0973157729695829,0.287707745374726,0.304659767952336,0.1026,0.0418,0.0608000000000002,0.0318000000000001,0.0708000000000001,-0.425077050838366,-0.171546201064172,-0.25419821543276,-0.327210388004881,-0.114069022572329
"868",26075,160831,666,0.00545914655756664,0.00609335264967575,0.00625501302609572,0.00948200284770971,0.00165391000491199,878,980,1006,1525,266,878,3777,1858,2797,833,3156,1845,2144,45.0000000000007,621.000000000001,13.0000000000014,653,2024,255627.353364632,71699.4682316119,183927.88513302,150844.355555556,104782.997809077,2024,0.608126279574061,0.596872755679313,0.0332087719407328,0,0,0.249827458636706,0.277477600711306,0.0666,0.00450000000000007,0.0621000000000001,0.00130000000000014,0.0653,0.404735604457849,0.223212441746367,0.187310132615083,0.37915311802588,0.06003755822858
"869",26077,255415,NA,0.00958831705263982,0.0090245287081808,0.0100894622477145,0.0195759841826048,0.00787737603508016,2449,2305,2577,5000.00000000001,2012,2449,11894,4754,9589,NA,NA,NA,NA,NA,NA,NA,NA,2012,195549.90639041,-31232.805793334,226782.712183744,11715.6070495259,183834.299340884,2012,0.432673584580119,0.400870883713697,0.0364074153828084,0.802180764637942,0.125239316406632,0.268382827946675,0.170127048137345,NA,NA,NA,NA,NA,0.220857990393645,0.009754743759807,0.208068653143383,0.0381222050090283,0.194096522729938
"870",26077,261405,1597,0.0112775195577743,0.00378722671716302,0.0118398653430501,0.0234234234234234,0.00838928100074597,2947.99999999999,989.999999999999,3095.00000000001,6122.99999999999,2193,2947.99999999999,12401,3937.99999999999,11411,2857.99999999999,10894,4287.99999999999,9464.00000000001,89.9999999999995,1507,-350,1947,2016,193610.349374729,-20468.1642226807,214078.51359741,22356.2270636128,171254.122311116,2016,0.431825489499247,0.432673584580119,0.0350222834299267,0.78962146860236,0.13452688357147,0.258388324630363,0.170073257971347,0.1597,0.00899999999999995,0.1507,-0.035,0.1947,0.258767167145054,0.0544620809069276,0.210055280025093,0.128062578310181,0.153805357565412
"871",26077,260222,-542,0.0117322901215116,0.00618702492487184,0.00602946714728194,0.0198599657215762,0.0095725957067427,3052.99999999999,1610,1569,5168,2491,3052.99999999999,10838,4662.99999999999,9228,3754.99999999999,10678,6218.99999999999,8214.00000000002,-702.000000000001,159.999999999989,-1556,1013.99999999999,2020,-137595.351873683,-154752.482716892,17157.1308432094,-227341.088345031,89745.736471348,2020,0.404408258545716,0.431825489499247,0.0421832127952287,0.811718455780065,0.113656800731683,0.25241140257165,0.18969572134562,-0.0542,-0.0702000000000001,0.0159999999999989,-0.1556,0.101399999999999,-0.361120587807207,-0.159364563908635,-0.203374266038128,-0.31301517471179,-0.0910845550148254
"872",26077,262760,2355,0.0134152839092708,0.0115961333536307,0.00936596133353631,0.0221152382402192,0.00533566752930431,3525,3047,2461,5811,1402,3525,12721,6572,9674,3052.99999999999,10838,4662.99999999999,9228,472.000000000004,1883,1909.00000000001,445.999999999996,2024,286142.283194435,77357.9682009811,208784.314993454,164612.915146584,121529.368047851,2024,0.40979381443299,0.404408258545716,0.0400137007154818,0,0,0.237935758867408,0.168853706804689,0.2355,0.0472000000000004,0.1883,0.190900000000001,0.0445999999999996,0.499186477220621,0.250224291930271,0.245777130780279,0.414942961829501,0.0923103585500955
"873",26081,605207,-9730,0.0324715345328127,0.014287673473704,0.0152129767170571,0.0103865289066386,0.00252971297423857,19652,8646.99999999998,9206.99999999998,6286.00000000003,1531,19652,25671,28299,17024,29635,25418,37406,17647,-9983.00000000005,253.000000000011,-9107.0000000001,-622.999999999945,2008,271852.430439622,75711.2119441493,196141.218495472,80485.7107805939,191366.719659028,2008,0.497362906335395,0.594220957273264,0.0554438398762737,0.787839532589676,0.0945808624156693,0.32624044335244,0.189074151488664,-0.973,-0.998300000000005,0.0253000000000011,-0.91070000000001,-0.0622999999999945,0.285165003458353,0.0575642999781871,0.221254166973201,0.0500469825172176,0.267572723287666
"874",26081,614097,1142,0.0329280227716468,0.0154340438074115,0.0178278024481474,0.0168654137701373,0.00412964075707909,20221,9477.99999999998,10948,10357,2536,20221,33319,29699,23841,23906,28492,34525,17873,-3685.00000000001,4826.99999999996,-4826.00000000006,5968,2012,150158.481585471,-89873.885794506,240032.367379977,-19915.6396519451,170074.121237416,2012,0.538911911188838,0.497362906335395,0.0622393530663723,0.76761651660894,0.108611505999866,0.297267369812912,0.187840031786509,0.1142,-0.368500000000001,0.482699999999996,-0.482600000000006,0.5968,0.292147578167102,-0.0803382097372084,0.38485122845256,-0.00165609092068384,0.294063554536241
"875",26081,642372,4831,0.0351665390147765,0.0164437428779586,0.0202281544027448,0.0162958534929916,0.00396499224748277,22590,10563,12994,10468,2547,22590,36572,33153,26009,24854,29477,35048,19283,-2264.00000000002,7095.00000000004,-1895,6726.00000000001,2016,143667.264430617,-65240.0292406536,208907.29367127,-3113.94065867354,146781.20508929,2016,0.516553197867972,0.538911911188838,0.0642322517170736,0.750010897112577,0.112669917119675,0.285309758208639,0.169313108292391,0.4831,-0.226400000000002,0.709500000000004,-0.1895,0.672600000000001,0.326438870493282,-0.0295160871956137,0.357059293224355,0.0920327183228366,0.219116890380105
"876",26081,672066,-4214,0.0323599170319582,0.0240735284927373,0.0143304377843843,0.0199295902485768,0.0038820592025188,21748,16179,9631.00000000002,13394,2609,21748,41813,37927,25634,30085,37690,43880.9999999999,23894,-8336.99999999995,4123.00000000007,-5953.99999999993,1740.00000000005,2020,-287434.236884707,-275809.889209288,-11624.3476754186,-382619.907092629,95185.6702079223,2020,0.46865032687131,0.516553197867972,0.0674219496299471,0.743252894804974,0.113323691423164,0.280329610484685,0.169193204238869,-0.4214,-0.833699999999995,0.412300000000007,-0.595399999999993,0.174000000000005,-0.372851003280934,-0.276976193990273,-0.0945377963055539,-0.428021365756961,0.0709944585320923
"877",26081,660022,-3285,0.0321777152882783,0.0199599407292484,0.0168933762813967,0.0196432846177855,0.00264991166961101,21238,13174,11150,12965,1749,21238,39038,34412,25864,21748,41813,37927,25634,-510.000000000004,-2775,-3515,229.999999999996,2024,380637.62374159,131831.105908838,248806.517832752,271399.850837254,109237.772904335,2024,0.472702989698622,0.46865032687131,0.083127532112566,0,0,0.261115538572957,0.159567408359115,-0.3285,-0.0510000000000004,-0.2775,-0.3515,0.0229999999999996,0.681664979409559,0.210002161489385,0.465839298808772,0.459379085437149,0.197028227161574
"878",26093,182583,615,0.0102912100250297,0.0102254864910753,0.00799088633662499,0.0120986072087763,0.00043815689302947,1879,1867,1459,2209,79.9999999999997,1879,5615.00000000001,3746,3748,649.000000000001,6230,2517,4361.99999999999,1230,-614.999999999989,1229,-613.99999999999,2008,127264.751265532,1552.46364473079,125712.287620801,5933.66843074091,121331.082834791,2008,0.567607028721373,0.633918859247612,0.012777750392972,0.961650317937595,0.00988043793781458,0.29366918059184,0.198841075017937,0.0615,0.123,-0.0614999999999989,0.1229,-0.061399999999999,0.0496919439384589,0.078091088808265,0.00945391418474467,0.00854795186801557,0.0400101625477965
"879",26093,182697,-1791,0.0066667761375392,0.00300497545115683,0.00742212515804857,0.00937070668921767,0.00188289900764654,1218,548.999999999999,1356,1712,344,1218,3961,1767,3412,1816,5154,2884,4086,-598.000000000001,-1193,-1117,-674.000000000005,2012,69266.3278877128,-40259.9070409572,109526.23492867,-32043.5439484584,101309.871836171,2012,0.617508915816195,0.567607028721373,0.0200660109361402,0.966020241164332,0.0069349797752563,0.279621449722765,0.182154058358922,-0.1791,-0.0598000000000001,-0.1193,-0.1117,-0.0674000000000005,0.107302870178613,-0.00524137750276036,0.0759322086861469,-0.00517591637855595,0.0706139069429218
"880",26093,188636,227,0.00248096863801183,0.00666892851841642,0.0121609872982888,0.0153576199664963,0.00029156682711677,468,1258,2294.00000000001,2897,54.999999999999,468,6504,1726,5246,1457,5288,2302,4443,-989.000000000001,1216,-576.000000000001,803.000000000002,2016,59135.4107225035,-31407.8690750115,90543.279797515,-29656.9903359411,88792.4010584446,2016,0.656379916853214,0.617508915816195,0.017107020929197,0.958719438495303,0.00822218452469306,0.262866048898408,0.215573909540067,0.0227,-0.0989000000000001,0.1216,-0.0576000000000001,0.0803000000000002,0.138701149059734,0.0386227136061633,0.0677688106368527,0.0797426353756145,0.0305255952624938
"881",26093,189419,-2310,0.00144652859533627,0.00698451580886817,0.00621373779821454,0.0120632037968736,0.00238624425216055,274.000000000001,1323,1177,2285,451.999999999999,274.000000000001,5237,1597,3914,1699,6121.99999999999,3625,4195.99999999999,-1425,-884.999999999995,-2028,-281.999999999994,2020,-64574.7719742292,-83395.7188219052,18820.946847676,-137151.922227335,72577.1502531063,2020,0.614862382390058,0.656379916853214,0.0198026597120669,0.950337611327269,0.0097667076692412,0.25506944921048,0.185694148950211,-0.231,-0.1425,-0.0884999999999995,-0.2028,-0.0281999999999994,-0.316258913156414,-0.138920317052254,-0.143268196747598,-0.274818368345261,-0.00314231794437933
"882",26093,196814,2113,0.00996880303230461,0.00423750342963407,0.008683325373195,0.0138963691607304,0.00195108071580274,1962,834,1709,2734.99999999999,384,1962,5661.99999999999,2796,4827.99999999999,274.000000000001,5237,1597,3914,1688,424.999999999994,1199,913.999999999995,2024,150214.261389784,34868.570409572,115345.690980212,84669.9489185458,65544.3124712379,2024,0.621305079559364,0.614862382390058,0.024881360065849,0,0,0.224303149166218,0.215502962187649,0.2113,0.1688,0.0424999999999994,0.1199,0.0913999999999995,0.377965476833244,0.22047500962583,0.152143820260762,0.349630398815936,0.0546820856095457
"883",26099,830531,-7084,0.0291042718453616,0.0212875858938438,0.0198740323961417,0.0224856146248605,0.00214200312811924,24172,17680,16506,18675,1779,24172,54640,41852,36960,27959,57937,46413,39483,-3786.99999999998,-3297.00000000001,-4560.99999999998,-2523,2008,141897.123684456,-4506.99068641147,146404.114370867,6594.12525446054,135302.998429995,2008,0.456104917522792,0.507539050928134,0.0119164727144441,0.870636978029718,0.0814828103947956,0.301139873165481,0.219111628584604,-0.7084,-0.378699999999998,-0.329700000000001,-0.456099999999998,-0.2523,0.435740617535197,0.144188121590763,0.344790192969438,0.187307105117897,0.253816231364854
"884",26099,847660,-3994,0.0337045513531369,0.0234952693296841,0.0248189132435174,0.0190135195715263,0.00262959205341764,28570,19916,21038,16117,2229,28570,59300,48486,39383.9999999999,28899,62965,55447,36417,-328.999999999982,-3665.00000000004,-6960.99999999998,2966.99999999994,2012,93749.0327838316,-16403.2677124496,110152.300496281,-15457.5457230671,109206.578506899,2012,0.479867676512581,0.456104917522792,0.0192376660453484,0.835297171035557,0.109929688790317,0.276787863058302,0.218488544935469,-0.3994,-0.0328999999999982,-0.366500000000004,-0.696099999999998,0.296699999999994,0.501181074839381,0.0740453342047053,0.378830858330803,0.183272428000569,0.2647667951467
"885",26099,867693,-8633,0.0355655744600913,0.0276918218770925,0.0224987409141252,0.0248763099391144,0.00167801284555713,30860,24028,19522,21585,1456,30860,66591.0000000001,54888,42563,35464,70620,55964,50120,-4603.99999999998,-4028.99999999994,-1076,-7556.99999999993,2016,108286.023629905,-4102.9775276414,112389.001157546,-3747.36078180923,112033.384411714,2016,0.560286995426229,0.479867676512581,0.0203343809388805,0.810370718675845,0.124932435780858,0.260559898489443,0.216570837842417,-0.8633,-0.460399999999998,-0.402899999999994,-0.1076,-0.755699999999993,0.552186626115228,0.119429722052118,0.40497043632189,0.273863530764734,0.274316914797767
"886",26099,871413,7210,0.0327812415008727,0.0296288900900032,0.030761533279857,0.0317392556686669,0.00525238893613017,28566,25819,26806,27658,4577,28566,84860,54384.9999999999,59041.0000000001,27239,78977.0000000001,50908.0000000001,55308.0000000001,1326.99999999995,5882.99999999993,3476.99999999987,3733,2020,-35219.8853364201,-45669.8957011136,10450.0103646935,-97323.9747867853,62104.0894503652,2020,0.540907926160532,0.560286995426229,0.0192032939604986,0.762372147305583,0.155833112427747,0.228013582537786,0.196204325618277,0.721,0.132699999999995,0.588299999999993,0.347699999999987,0.3733,0.0814919423396919,-0.0535188337020479,0.145086204451377,-0.0722294881763627,0.13158473610817
"887",26099,874769,-5036,0.0357145715040199,0.0327720804006543,0.0243332811290752,0.0279365180979207,0.00315054602986617,31242,28668,21286,24438,2756,31242,77147.9999999999,59910,48480,28566,84860,54384.9999999999,59041.0000000001,2676,-7712.00000000007,5525.00000000001,-10561.0000000001,2024,162587.92475951,25661.3887624902,136926.53599702,65632.2760946793,96955.6486648306,2024,0.569733626612921,0.540907926160532,0.0254901579731335,0,0,0.23919686225735,0.211025996577382,-0.5036,0.2676,-0.771200000000007,0.552500000000001,-1.05610000000001,0.762218816850508,0.285184243816944,0.488917255830741,0.516405096515436,0.324904334852956
"888",26115,152906,942,0.0140609263207461,0.00264214615515415,0.00541509162491989,0.00724628202948217,0,2150,404,828.000000000001,1108,0,2150,2340,2554,1936,1013,2535,2002,1546,1137,-194.999999999997,552.000000000004,390.000000000002,2008,154093.030292831,8942.41837765062,145150.61191518,15496.9633120162,138596.066980815,2008,0.477864548628695,0.509387022662081,0.0241390135115692,0.918969824598119,0.0416007220122167,0.303585209213504,0.299412711077394,0.0942,0.1137,-0.0194999999999997,0.0552000000000004,0.0390000000000002,0.0417783524173628,0.0678424380110152,0.0132944334021635,0.0108477247408469,0.0367707420937201
