"","state_po","county_name","county_fips","dem_two_party_share_2000","dem_two_party_share_2004","dem_two_party_share_2008","dem_two_party_share_2012","dem_two_party_share_2016","dem_two_party_share_2020","dem_two_party_share_2024","gop_two_party_share_2000","gop_two_party_share_2004","gop_two_party_share_2008","gop_two_party_share_2012","gop_two_party_share_2016","gop_two_party_share_2020","gop_two_party_share_2024"
"40","AL","LAWRENCE",1079,0.526113478733183,0.443284119553475,0.357592964476144,0.363551602954888,0.250829875518672,0.224250818433644,0.186355969263447,0.473886521266817,0.556715880446525,0.642407035523856,0.636448397045112,0.749170124481328,0.775749181566356,0.813644030736553
"41","AL","LEE",1081,0.393817385899965,0.367135003054368,0.400126563430613,0.399085394307046,0.380145755367343,0.39753998944079,0.359213567629285,0.606182614100035,0.632864996945632,0.599873436569387,0.600914605692954,0.619854244632657,0.60246001055921,0.640786432370715
"42","AL","LIMESTONE",1083,0.387653043628212,0.316567226307756,0.287801050280678,0.279837148388566,0.245698715453484,0.282993873157808,0.277902721658916,0.612346956371788,0.683432773692244,0.712198949719322,0.720162851611434,0.754301284546516,0.717006126842192,0.722097278341084
"43","AL","LOWNDES",1085,0.735593220338983,0.703272968931716,0.75075778451364,0.765960282553645,0.736056677720832,0.730317273795535,0.687466666666667,0.264406779661017,0.296727031068284,0.24924221548636,0.234039717446355,0.263943322279168,0.269682726204465,0.312533333333333
"44","AL","MACON",1087,0.875399725902238,0.832443970117396,0.871288954453255,0.871723207401696,0.840946982327442,0.821829113192277,0.783414885397888,0.124600274097762,0.167556029882604,0.128711045546745,0.128276792598304,0.159053017672558,0.178170886807723,0.216585114602112
"45","AL","MADISON",1089,0.436782963298595,0.405524700154833,0.424385433076078,0.405594542802765,0.41237478830526,0.459240474361538,0.45444854957724,0.563217036701405,0.594475299845167,0.575614566923922,0.594405457197235,0.58762521169474,0.540759525638462,0.54555145042276
"46","AL","MARENGO",1091,0.507921519252964,0.489409249902837,0.517916448173396,0.536121011909937,0.517606932153392,0.506693749422953,0.481092873467692,0.492078480747036,0.510590750097163,0.482083551826604,0.463878988090063,0.482393067846608,0.493306250577047,0.518907126532308
"47","AL","MARION",1093,0.399652476107732,0.297709326870456,0.214238628872775,0.18826385400971,0.112702660160554,0.107038337723149,0.0890492486237167,0.600347523892268,0.702290673129544,0.785761371127225,0.81173614599029,0.887297339839446,0.892961662276851,0.910950751376283
"48","AL","MARSHALL",1095,0.377971964318223,0.270593885064831,0.214802380589043,0.195827892806069,0.14398243045388,0.151862830275464,0.138870132793158,0.622028035681777,0.729406114935169,0.785197619410957,0.804172107193932,0.85601756954612,0.848137169724536,0.861129867206842
"49","AL","MOBILE",1097,0.428648703966316,0.409204730779603,0.455978471952505,0.45354816789805,0.431471231664893,0.43977046985065,0.416951172937378,0.571351296033684,0.590795269220397,0.544021528047495,0.54645183210195,0.568528768335107,0.56022953014935,0.583048827062622
"50","AL","MONROE",1099,0.4206206431302,0.386016636832684,0.448660714285714,0.461191928671985,0.427767354596623,0.420203735144312,0.383707807530522,0.5793793568698,0.613983363167316,0.551339285714286,0.538808071328015,0.572232645403377,0.579796264855688,0.616292192469478
"51","AL","MONTGOMERY",1101,0.509747720902043,0.505954715036356,0.596619864295517,0.622035753374681,0.634057620077702,0.659535977105478,0.655327233864492,0.490252279097957,0.494045284963644,0.403380135704483,0.377964246625319,0.365942379922298,0.340464022894522,0.344672766135508
"52","AL","MORGAN",1103,0.383898264569489,0.303188293855132,0.278406700194354,0.275220151546181,0.230898645876077,0.25017959091081,0.234514865350769,0.616101735430511,0.696811706144868,0.721593299805646,0.724779848453819,0.769101354123923,0.749820409089191,0.765485134649231
"53","AL","PERRY",1105,0.698887343532684,0.684287011807448,0.726368970013038,0.752057951926243,0.731026572357102,0.74245047124447,0.714382174206617,0.301112656467316,0.315712988192552,0.273631029986962,0.247942048073757,0.268973427642898,0.25754952875553,0.285617825793383
"54","AL","PICKENS",1107,0.490353888034087,0.430930104567969,0.45811727163941,0.465079862198559,0.421298260500636,0.418261231281198,0.38269513159381,0.509646111965913,0.569069895432031,0.54188272836059,0.534920137801441,0.578701739499364,0.581738768718802,0.61730486840619
"55","AL","PIKE",1109,0.418338934229477,0.366759752898367,0.423467550241302,0.431133019002715,0.396580123931289,0.412048545108934,0.373314028804389,0.581661065770523,0.633240247101633,0.576532449758698,0.568866980997285,0.603419876068711,0.587951454891066,0.626685971195611
"56","AL","RANDOLPH",1111,0.398711340206186,0.314959749552773,0.299247973434906,0.298776936517181,0.229191676670668,0.204701728303289,0.174197060424605,0.601288659793814,0.685040250447227,0.700752026565094,0.701223063482819,0.770808323329332,0.795298271696711,0.825802939575395
"57","AL","RUSSELL",1113,0.575304919830067,0.501136907611297,0.53672166045769,0.559164980296091,0.50981957528341,0.532334534420633,0.508390243902439,0.424695080169933,0.498863092388703,0.46327833954231,0.440835019703909,0.49018042471659,0.467665465579367,0.491609756097561
"58","AL","SHELBY",1117,0.216704474471513,0.189691511783867,0.229971567151698,0.219167750609376,0.239351229725929,0.294490475178812,0.293446737559089,0.783295525528487,0.810308488216133,0.770028432848302,0.780832249390624,0.760648770274071,0.705509524821188,0.706553262440911
"59","AL","ST. CLAIR",1115,0.274764850436404,0.188423815444122,0.180527563722584,0.166542259990813,0.150080558539205,0.176360737872922,0.17709371595466,0.725235149563596,0.811576184555878,0.819472436277416,0.833457740009187,0.849919441460795,0.823639262127078,0.82290628404534
"60","AL","SUMTER",1119,0.730476505625414,0.706570938036523,0.752537526804861,0.773654916512059,0.750118539592224,0.744156260006404,0.707233719384849,0.269523494374586,0.293429061963477,0.247462473195139,0.226345083487941,0.249881460407776,0.255843739993596,0.292766280615151
"61","AL","TALLADEGA",1121,0.449284033345299,0.382898501935701,0.406568115428875,0.419444360652771,0.370276462501909,0.371413224775959,0.330262440147888,0.550715966654701,0.617101498064299,0.593431884571125,0.580555639347229,0.629723537498091,0.628586775224041,0.669737559852112
"62","AL","TALLAPOOSA",1123,0.386727545659244,0.305497954379869,0.316127013921477,0.33764360138926,0.288756343849736,0.281385073479973,0.250516138778388,0.613272454340756,0.694502045620131,0.683872986078523,0.66235639861074,0.711243656150264,0.718614926520027,0.749483861221612
"63","AL","TUSCALOOSA",1125,0.419912312127881,0.381498470948012,0.419380826332144,0.411949200473032,0.399597408316034,0.424889178911366,0.397025783673906,0.580087687872119,0.618501529051988,0.580619173667856,0.588050799526968,0.600402591683965,0.575110821088634,0.602974216326094
"64","AL","WALKER",1127,0.462858963635639,0.319909165099528,0.263662852675716,0.23245178672717,0.156346695407294,0.156764820339862,0.138740445105865,0.53714103636436,0.680090834900472,0.736337147324284,0.76754821327283,0.843653304592706,0.843235179660138,0.861259554894135
